vendor_name,vendor_id,company_id,risk_level
J&C REFRIGERATION LIMITED,JCRELI0001,TNS,N/A
FISHER SCIENTIFIC,FISC0001,TNS,N/A
WEFORMA DAMPFUNGSTECHNIK GMBH - WIRE,WEDAGM0001,TNS,N/A
LEVITT-SAFETY LIMITED,LESALT0001,TNS,MEDIUM
ELECTROMATE INC,ELIN0001,TNS,MEDIUM
ADVANTECH CORPORATION,ADCO0001,TNS,N/A
CANADAWIDE SCIENTIFIC LIMITED,CASCLI0001,TNS,N/A
TOP DOG MANUFACTURING,TODOMA0001,TNS,N/A
STINSON OWL LITE,STOWLI0001,TNS,N/A
POSEIDON MARINE CONSULTANTS LTD.,POMACO0001,TNS,N/A
LAZER-TECH LINE PAINTING,LATELI0001,TNS,N/A
MCLOUGHLAN SUPPLIES LTD,MCSULT0001,TNS,N/A
THERMOPAK LTD,THLT0001,TNS,N/A
PRIME MATERIAL HANDLING EQUIPMENT,PRMAHA4606,TNS,N/A
T.A. THOMPSON'S ELECTRIC LTD,TATHEL0001,TNS,N/A
SHORELINE PACKAGING LIMITED,SHPALI0001,TNS,N/A
PLANT-TOURS COMMUNICATIONS CO.,PLTOCO0001,TNS,N/A
PACK 3000 CANADA LTEE,PA30LT0001,TNS,MEDIUM
MARI-TECH SCALES & FOOD EQUIPMENT INC. (US),MATESC0002,TNS,HIGH
HI-POINT INDUSTRIES (1991) LTD.,HIPOIN0001,TNS,N/A
DILLON CONSULTING LIMITED,DICOLI0001,TNS,N/A
AVALON COAL SALT & OIL LTD,AVCOSA0001,TNS,N/A
WILSON SECURITY LIMITED,WISELI0001,TNS,N/A
AIR LIQUIDE CANADA INC #42385,AILICA2385,TNS,MEDIUM
PBA INDUSTRIAL SUPPLIES LTD,PBINSU0001,TNS,N/A
BOYD BROS HOME HARDWARE,BOBRHO1780,TNS,MEDIUM
COPELAND CANADA,Not Found,TNS,N/A
FUNDY ENGINEERING & CONSULTING LTD,FUEN0001,TNS,N/A
SHELBURNE DIESEL MARINE,SHDIMA0001,TNS,N/A
ROBINSON TAPE AND LABEL INC.,ROTAAN0001,TNS,N/A
WILDLY DELICIOUS PRESERVE COMPANY LTD.,WIDEPR0001,TNS,N/A
DIGI CANADA INCORPORATED,DICAIN0001,TNS,MEDIUM
AUTOTEC INC.,AUIN0001,TNS,N/A
WURTH CANADA LIMITED,WUCALI0001,TNS,N/A
ACKLANDS GRAINGER INC.,ACGRIN0001,TNS,MEDIUM
EMSENS - WIRE,EM0001,TNS,LOW
SENIENTS COLORS CANADA,Not Found,TNS,N/A
VENTES CENTECH INC.,VECEIN0001,TNS,N/A
MARITIME MARINE SUPPLY LTD,MAMASU0001,TNS,N/A
KELLY COVE SALMON LTD,KECOSA0001,TNS,N/A
"DIAMOND E ENTERPRISES INC, O/A DENNIS'S HORSERADISH",DIEEIN0001,TNS,N/A
CANADIAN SYRUP INC.,CASYIN0002,TNS,N/A
ISLAND HANDLING SYSTEMS INC. #ATL109,ISHASY0001,TNS,N/A
"FASTENAL CANADA, LTD",FACA0001,TNS,N/A
DAROSE CONTROLS SYSTEMS LIMITED,DACOSY0001,TNS,N/A
CENTRAL HYDRAULICS & SUPPLY,CEHYSU0001,TNS,N/A
AIRCOM TECHNOLOGIES INC.,AITEIN0001,TNS,N/A
SAEPLAST AMERICAS INC.,SAAMIN0001,TNS,N/A
MAUSER PACKAGING SOLUTIONS,MAPASO0001,TNS,N/A
MEYER SERVICES & SUPPLY LTD,MESESU0001,TNS,N/A
TOROMONT INDUSTRIES LTD.,TOINLT0001,TNS,MEDIUM
IMP GROUP LIMITED,IMGRLI0001,TNS,N/A
BWAY CORPORATION,BWCO0001,TNS,N/A
WOODY'S MOBILE CAR WASH,WOMOWA0001,TNS,HIGH
BIG ASS FANS,BIASFA0001,TNS,N/A
THERMAL INFRARED SERVICES,THINSE0001,TNS,MEDIUM
HERCULES SLR INC.,HESL0001,TNS,MEDIUM
TRIFISK MFG. INC.,TRMFIN0001,TNS,MEDIUM
THERMALITE PRODUCTS INC,THPRIN0001,TNS,N/A
NEW SYSTEMS LAUNDRY & CLEANERS,NESYLA0001,TNS,N/A
MORGAN PRINTING,MOPR0001,TNS,N/A
NAICO ENGINEERED SYSTEMS,NAENSY0001,TNS,N/A
KRYSTAL KLEAR WINDOW CLEANING,KRKLWI0001,TNS,N/A
SOUTHWEST CONCRETE & CONST. LTD,SOCOCO0001,TNS,N/A
SANSOM EQUIPMENT LIMITED,SAEQLI0001,TNS,LOW
PRESSED 4 TIME,PR4TI0001,TNS,N/A
ANIXTER CANADA INC.,ANCAIN0001,TNS,N/A
CONTROLPRO DISTRIBUTORS INC,CODIIN0001,TNS,N/A
THE NORAMAR COMPANY,THNOCO0001,TNS,N/A
REB INC.,Not Found,TNS,MEDIUM
COLE PARMER CANADA COMPANY,COPACA0001,TNS,N/A
IFM EFECTOR INC. T98200,Not Found,TNS,MEDIUM
OZONE INTERNATIONAL FINANCIAL SERVICES,OZIN0001,TNS,N/A
CLINE'S POINT CONSTRUCTION LTD,CLPOCO0001,TNS,N/A
"NORDSON CANADA, LIMITED",NOCALI0001,TNS,MEDIUM
VERNON D'EON FISHING SUPPLIES LTD,VEDEFI0001,TNS,LOW
SPEE-DEE PACKAGING MACHINERY INC.,SPDEPA0001,TNS,LOW
NEWFOUNDLAND STYRO INC.,NESTIN0001,TNS,N/A
STAGG SIGNS & GRAPHICS,STSIGR0001,TNS,N/A
